Datetime,Tweet Id,Text,Username
2023-03-03 09:58:00+00:00,1631594764801028101,"[#MOHCOS2023] Reviewing system enablers to support healthcare transformations

MOH aims to table the Health Information in 2H 2023.

MOH will also continue to invest in healthcare infrastructure to meet the needs of our population.  

More info: https://t.co/uJYxogZyWV https://t.co/hAV2d4LMPQ",sporeMOH
2023-03-03 09:43:00+00:00,1631590989998747650,"[#MOHCOS2023] Transforming aged care for seniors to live and age well

MediSave may now be used for homebound patients receiving medical and palliative care.

$1.5b will be topped-up to MediFund in 2023 to provide financial support for needy Singaporeans.
https://t.co/uJYxogZyWV https://t.co/z1M1BFuD28",sporeMOH
2023-03-03 09:18:00+00:00,1631584701843652608,"[#MOHCOS2023] Empowering Healthy Lives

MOH will continue our ongoing efforts to promote healthier living for all ages and families – with Healthier SG enrolment, additional resources to empower residents, and greater support for families.

More info: https://t.co/uJYxogZyWV https://t.co/SvVTnJyve2",sporeMOH
2023-03-03 08:44:04+00:00,1631576159870918656,"[#MOHCOS2023] 𝗗𝗶𝗮𝗯𝗲𝘁𝗲𝘀 𝗠𝗮𝗻𝗮𝗴𝗲𝗺𝗲𝗻𝘁 

The National Diabetes Reference Materials (NDRM) Tier 2 materials will be published in April 2023, providing guidelines on physical activities, healthy eating, ways to cope with stresses, and support for Type 1 diabetes.",sporeMOH
2023-03-03 08:37:37+00:00,1631574536671072257,"[#MOHCOS2023] 𝗛𝗲𝗮𝗹𝘁𝗵𝗰𝗮𝗿𝗲 𝗠𝗮𝗻𝗽𝗼𝘄𝗲𝗿

We will continue to ensure the well-being of our healthcare workers, starting with a healthy working culture and environment.",sporeMOH
2023-03-03 08:36:21+00:00,1631574220412186626,"[#MOHCOS2023] 𝗛𝗲𝗮𝗹𝘁𝗵𝗰𝗮𝗿𝗲 𝗠𝗮𝗻𝗽𝗼𝘄𝗲𝗿

The salaries of healthcare workers are reviewed regularly to ensure that they are paid competitively.",sporeMOH
2023-03-03 08:35:12+00:00,1631573927008030726,"[#MOHCOS2023] 𝗛𝗲𝗮𝗹𝘁𝗵𝗰𝗮𝗿𝗲 𝗠𝗮𝗻𝗽𝗼𝘄𝗲𝗿

To meet increasing healthcare needs, we are ramping up recruitment of foreign nurses to complement our local core.",sporeMOH
2023-03-03 08:33:27+00:00,1631573490540380161,"[#MOHCOS2023] 𝗛𝗲𝗮𝗹𝘁𝗵𝗰𝗮𝗿𝗲 𝗠𝗮𝗻𝗽𝗼𝘄𝗲𝗿

The attrition rate for local nurses has remained stable over 2019 to 2022, but for foreign nurses, this has spiked from 9.5% to 14.5% over the same period.",sporeMOH
2023-03-03 08:32:22+00:00,1631573215305928706,"[#MOHCOS2023] 𝗛𝗲𝗮𝗹𝘁𝗵𝗰𝗮𝗿𝗲 𝗠𝗮𝗻𝗽𝗼𝘄𝗲𝗿

To attract students from all pathways into suitable healthcare programmes, we are working towards making the entry criteria for each pathway more transparent.",sporeMOH
2023-03-03 08:30:40+00:00,1631572789978349569,"For example, about 430 allied health graduates from the 2022 batch at SIT will enter the workforce in 2026, after increasing the intake by around 85%.",sporeMOH
